term,estimate,std.error,statistic,p.value,conf.low,conf.high,exposure,outcome
eczema_pre16_union,1.2491306478170232,0.04436112972855197,5.01447616346509,5.330889418732837e-7,1.1451093040376912,1.3626012554557134,eczema_pre16_union,phq9
eczema_pre16_union,1.1583036853420985,0.04094164817554884,3.5894156972587923,3.316472372932565e-4,1.0689865450378566,1.2550835496526982,eczema_pre16_union,gad7
